Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0,GDP per capita,Population (historical),Continent,Health Expenditure,life_Category,Health_Expenditure_Category,GDP_Category,Population_Category
Afghanistan,AFG,2019.0,63.6,2031.7373,37856126.0,Asia,321.5254,Low,Medium,Low,Very High
Algeria,DZA,2019.0,76.5,14000.279,43294550.0,Africa,754.2095,High,Medium,High,Very High
Angola,AGO,2019.0,62.4,6886.954,32375632.0,Africa,171.67917,Low,Low,Medium,High
Argentina,ARG,2019.0,77.3,17912.637,44973468.0,South America,2187.8289,High,High,High,Very High
Armenia,ARM,2019.0,75.4,12399.231,2903975.0,Asia,1698.2128,High,High,Medium,Low
Australia,AUS,2019.0,83.1,49814.67,25482714.0,Oceania,5389.843,Very High,Very High,Very High,High
Austria,AUT,2019.0,81.9,43488.668,8880875.0,Europe,6098.064,Very High,Very High,Very High,Medium
Azerbaijan,AZE,2019.0,73.1,17029.906,10110486.0,Asia,600.6251,Medium,Medium,High,Medium
Bahrain,BHR,2019.0,80.0,39499.707,1485675.0,Asia,2054.1848,Very High,High,Very High,Low
Bangladesh,BGD,2019.0,72.8,4242.7515,164913060.0,Asia,127.91412,Medium,Low,Low,Very High
Barbados,BRB,2019.0,77.3,12040.277,281216.0,North America,1051.9863,High,High,Medium,Low
Belarus,BLR,2019.0,74.2,19130.395,9435414.0,Europe,1146.8568,High,High,High,Medium
Belgium,BEL,2019.0,81.8,41155.527,11490622.0,Europe,5804.9346,Very High,Very High,Very High,High
Benin,BEN,2019.0,60.5,2276.1038,12726761.0,Africa,76.34344,Low,Low,Low,High
Bolivia,BOL,2019.0,67.8,6730.809,11671386.0,South America,612.2984,Medium,Medium,Medium,High
Bosnia and Herzegovina,BIH,2019.0,77.2,11048.235,3345534.0,Europe,1396.4879,High,High,Medium,Low
Botswana,BWA,2019.0,65.5,15747.324,2332081.0,Africa,967.26404,Low,High,High,Low
Brazil,BRA,2019.0,75.3,14257.871,207455459.0,South America,1470.8158,High,High,High,Very High
Bulgaria,BGR,2019.0,75.1,18840.764,6975467.0,Europe,1730.673,High,High,High,Medium
Burkina Faso,BFA,2019.0,60.0,1651.1173,20961954.0,Africa,116.97824,Low,Low,Low,High
Burundi,BDI,2019.0,62.4,738.9831,12255339.0,Africa,49.751534,Low,Low,Low,High
Cambodia,KHM,2019.0,70.7,3896.7979,16481304.0,Asia,320.87927,Medium,Medium,Low,High
Cameroon,CMR,2019.0,61.6,2832.0767,25506096.0,Africa,142.9729,Low,Low,Low,High
Canada,CAN,2019.0,82.4,45284.215,37782931.0,North America,5409.6865,Very High,Very High,Very High,Very High
Cape Verde,CPV,2019.0,76.0,7297.2793,514116.0,Africa,360.87918,High,Medium,Medium,Low
Central African Republic,CAF,2019.0,55.0,623.5598,4944707.0,Africa,72.06668,Low,Low,Low,Medium
Chad,TCD,2019.0,53.3,1543.8029,16685223.0,Africa,70.84669,Low,Low,Low,High
Chile,CHL,2019.0,80.3,21924.408,19197747.0,South America,2359.2053,Very High,Very High,High,High
China,CHN,2019.0,78.0,16879.54,1423520354.0,Asia,885.902,High,High,High,Very High
Colombia,COL,2019.0,76.8,13603.993,49907987.0,South America,1275.9705,High,High,High,Very High
Comoros,COM,2019.0,64.1,1832.4357,786583.0,Africa,176.97821,Low,Low,Low,Low
Congo,COG,2019.0,62.7,4583.337,5616656.0,Africa,99.11428,Low,Low,Low,Medium
Costa Rica,CRI,2019.0,79.4,14775.292,4999551.0,North America,1622.4613,Very High,High,High,Medium
Croatia,HRV,2019.0,78.7,23590.277,3986338.0,Europe,2074.7686,Very High,High,High,Low
Cuba,CUB,2019.0,77.6,8257.785,11202847.0,North America,2552.083,High,Very High,Medium,High
Cyprus,CYP,2019.0,81.4,30284.795,1286669.0,Asia,2962.649,Very High,Very High,Very High,Low
Czechia,CZE,2019.0,79.2,32226.553,10554871.0,Europe,3265.2122,Very High,Very High,Very High,Medium
Denmark,DNK,2019.0,81.4,48238.656,5814619.0,Europe,5949.8936,Very High,Very High,Very High,Medium
Djibouti,DJI,2019.0,63.1,3436.9502,1088708.0,Africa,104.97135,Low,Low,Low,Low
Dominica,DMA,2019.0,73.6,9575.093,67901.0,North America,669.878,Medium,Medium,Medium,Low
Dominican Republic,DOM,2019.0,73.6,16587.236,10894043.0,North America,802.93823,Medium,Medium,High,High
Ecuador,ECU,2019.0,77.3,10586.937,17340017.0,South America,928.175,High,High,Medium,High
Egypt,EGY,2019.0,71.4,12300.201,107553159.0,Africa,563.58704,Medium,Medium,Medium,Very High
El Salvador,SLV,2019.0,72.6,8849.834,6222316.0,North America,799.18787,Medium,Medium,Medium,Medium
Equatorial Guinea,GNQ,2019.0,61.6,25006.34,1670184.0,Africa,510.16132,Low,Medium,High,Low
Estonia,EST,2019.0,78.7,28505.604,1326821.0,Europe,2586.4763,Very High,Very High,Very High,Low
Eswatini,SWZ,2019.0,60.5,8375.426,1179885.0,Africa,597.1887,Low,Medium,Medium,Low
Ethiopia,ETH,2019.0,65.8,2030.6775,115737385.0,Africa,73.53461,Low,Low,Low,Very High
Finland,FIN,2019.0,81.9,39874.8,5521755.0,Europe,4615.3765,Very High,Very High,Very High,Medium
